tconst,titleType,primaryTitle,originalTitle,startYear,endYear,genres
tt0109830,movie,Forrest Gump,Forrest Gump,1994.0,,"Drama,Romance"
tt0114369,movie,Se7en,Se7en,1995.0,,"Crime,Drama,Mystery"
tt0064116,movie,Once Upon a Time in the West,C'era una volta il West,1968.0,,Western
tt0114814,movie,The Usual Suspects,The Usual Suspects,1995.0,,"Crime,Drama,Mystery"
tt0034583,movie,Casablanca,Casablanca,1942.0,,"Drama,Romance,War"
tt0047396,movie,Rear Window,Rear Window,1954.0,,"Mystery,Thriller"
tt0054215,movie,Psycho,Psycho,1960.0,,"Horror,Mystery,Thriller"
tt0120586,movie,American History X,American History X,1998.0,,"Crime,Drama"
tt0027977,movie,Modern Times,Modern Times,1936.0,,"Comedy,Drama,Romance"
tt1345836,movie,The Dark Knight Rises,The Dark Knight Rises,2012.0,,"Action,Drama"
tt1853728,movie,Django Unchained,Django Unchained,2012.0,,"Drama,Western"
tt0169547,movie,American Beauty,American Beauty,1999.0,,Drama
tt0032553,movie,The Great Dictator,The Great Dictator,1940.0,,"Comedy,Drama,War"
tt0071562,movie,The Godfather Part II,The Godfather Part II,1974.0,,"Crime,Drama"
tt0407887,movie,The Departed,The Departed,2006.0,,"Crime,Drama,Thriller"
tt4154756,movie,Avengers: Infinity War,Avengers: Infinity War,2018.0,,"Action,Adventure,Sci-Fi"
tt7286456,movie,Joker,Joker,2019.0,,"Crime,Drama,Thriller"
tt4154796,movie,Avengers: Endgame,Avengers: Endgame,2019.0,,"Action,Adventure,Drama"
tt2106476,movie,The Hunt,Jagten,2012.0,,Drama
tt0338013,movie,Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,2004.0,,"Drama,Romance,Sci-Fi"
tt0093058,movie,Full Metal Jacket,Full Metal Jacket,1987.0,,"Drama,War"
tt0066921,movie,A Clockwork Orange,A Clockwork Orange,1971.0,,"Crime,Sci-Fi"
tt0208092,movie,Snatch,Snatch,2000.0,,"Comedy,Crime"
tt0059578,movie,For a Few Dollars More,Per qualche dollaro in più,1965.0,,Western
tt0372784,movie,Batman Begins,Batman Begins,2005.0,,"Action,Crime,Drama"
tt0268978,movie,A Beautiful Mind,A Beautiful Mind,2001.0,,"Biography,Drama"
tt0117951,movie,Trainspotting,Trainspotting,1996.0,,Drama
tt1205489,movie,Gran Torino,Gran Torino,2008.0,,Drama
tt2278388,movie,The Grand Budapest Hotel,The Grand Budapest Hotel,2014.0,,"Adventure,Comedy,Crime"
tt2119532,movie,Hacksaw Ridge,Hacksaw Ridge,2016.0,,"Biography,Drama,History"
tt0058461,movie,A Fistful of Dollars,Per un pugno di dollari,1964.0,,"Action,Drama,Western"
tt0060196,movie,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",1966.0,,"Adventure,Western"
tt0082176,movie,Christiane F.,Christiane F. - Wir Kinder vom Bahnhof Zoo,1981.0,,"Biography,Drama"
tt0088847,movie,The Breakfast Club,The Breakfast Club,1985.0,,"Comedy,Drama"
tt0091042,movie,Ferris Bueller's Day Off,Ferris Bueller's Day Off,1986.0,,Comedy
tt0094291,movie,Wall Street,Wall Street,1987.0,,"Crime,Drama"
tt1027718,movie,Wall Street: Money Never Sleeps,Wall Street: Money Never Sleeps,2010.0,,Drama
tt0097351,movie,Field of Dreams,Field of Dreams,1989.0,,"Drama,Family,Fantasy"
tt0102059,movie,Hot Shots!,Hot Shots!,1991.0,,"Action,Comedy"
tt0107144,movie,Hot Shots! Part Deux,Hot Shots! Part Deux,1993.0,,"Action,Comedy"
tt0114746,movie,12 Monkeys,Twelve Monkeys,1995.0,,"Mystery,Sci-Fi,Thriller"
tt0112641,movie,Casino,Casino,1995.0,,"Crime,Drama"
tt0117665,movie,Sleepers,Sleepers,1996.0,,"Crime,Drama,Thriller"
tt0117887,movie,That Thing You Do!,That Thing You Do!,1996.0,,"Comedy,Drama,Music"
tt0147612,movie,Happiness,Happiness,1998.0,,"Comedy,Drama"
tt0120735,movie,"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels",1998.0,,"Action,Comedy,Crime"
tt0147800,movie,10 Things I Hate About You,10 Things I Hate About You,1999.0,,"Comedy,Drama,Romance"
tt0139134,movie,Cruel Intentions,Cruel Intentions,1999.0,,"Drama,Romance"
tt3228774,movie,Cruella,Cruella,2021.0,,"Adventure,Comedy,Crime"
tt0151804,movie,Office Space,Office Space,1999.0,,Comedy
tt0144084,movie,American Psycho,American Psycho,2000.0,,"Crime,Drama,Horror"
tt0180093,movie,Requiem for a Dream,Requiem for a Dream,2000.0,,Drama
tt0246578,movie,Donnie Darko,Donnie Darko,2001.0,,"Drama,Mystery,Sci-Fi"
tt0212985,movie,Hannibal,Hannibal,2001.0,,"Crime,Drama,Thriller"
tt0227984,movie,Formula 51,The 51st State,2001.0,,"Action,Comedy,Crime"
tt0264464,movie,Catch Me If You Can,Catch Me If You Can,2002.0,,"Biography,Crime,Drama"
tt7131622,movie,Once Upon a Time... in Hollywood,Once Upon a Time... in Hollywood,2019.0,,"Comedy,Drama"
tt0238380,movie,Equilibrium,Equilibrium,2002.0,,"Action,Drama,Sci-Fi"
tt0116282,movie,Fargo,Fargo,1996.0,,"Crime,Thriller"
tt0121766,movie,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith,2005.0,,"Action,Adventure,Fantasy"
tt0120915,movie,Star Wars: Episode I - The Phantom Menace,Star Wars: Episode I - The Phantom Menace,1999.0,,"Action,Adventure,Fantasy"
tt0121765,movie,Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones,2002.0,,"Action,Adventure,Fantasy"
tt0947798,movie,Black Swan,Black Swan,2010.0,,"Drama,Thriller"
tt0327056,movie,Mystic River,Mystic River,2003.0,,"Crime,Drama,Mystery"
tt0758758,movie,Into the Wild,Into the Wild,2007.0,,"Adventure,Biography,Drama"
tt0302886,movie,Old School,Old School,2003.0,,Comedy
tt1229340,movie,Anchorman 2: The Legend Continues,Anchorman 2: The Legend Continues,2013.0,,Comedy
tt0357413,movie,Anchorman: The Legend of Ron Burgundy,Anchorman: The Legend of Ron Burgundy,2004.0,,Comedy
tt0361862,movie,The Machinist,The Machinist,2004.0,,"Drama,Thriller"
tt0385002,movie,Green Street Hooligans,Hooligans,2005.0,,"Crime,Drama,Sport"
tt0416320,movie,Match Point,Match Point,2005.0,,"Drama,Romance,Thriller"
tt0848228,movie,The Avengers,The Avengers,2012.0,,"Action,Adventure,Sci-Fi"
tt2584384,movie,Jojo Rabbit,Jojo Rabbit,2019.0,,"Comedy,Drama,War"
tt0414387,movie,Pride & Prejudice,Pride & Prejudice,2005.0,,"Drama,Romance"
tt0401792,movie,Sin City,Sin City,2005.0,,"Crime,Thriller"
tt13143964,movie,Borat Subsequent Moviefilm,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020.0,,Comedy
tt0443453,movie,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006.0,,Comedy
tt0460740,movie,Cashback,Cashback,2006.0,,"Comedy,Drama,Romance"
tt0443543,movie,The Illusionist,The Illusionist,2006.0,,"Drama,Fantasy,Mystery"
tt3315342,movie,Logan,Logan,2017.0,,"Action,Drama,Sci-Fi"
tt0765443,movie,Eastern Promises,Eastern Promises,2007.0,,"Crime,Drama,Thriller"
tt2582496,movie,Me and Earl and the Dying Girl,Me and Earl and the Dying Girl,2015.0,,"Comedy,Drama,Romance"
tt1877832,movie,X-Men: Days of Future Past,X-Men: Days of Future Past,2014.0,,"Action,Adventure,Sci-Fi"
tt0477348,movie,No Country for Old Men,No Country for Old Men,2007.0,,"Crime,Drama,Thriller"
tt0833960,movie,Gardens of the Night,Gardens of the Night,2008.0,,Drama
tt1032755,movie,RocknRolla,RocknRolla,2008.0,,"Action,Crime,Thriller"
tt1022603,movie,500 Days of Summer,(500) Days of Summer,2009.0,,"Comedy,Drama,Romance"
tt1270798,movie,X-Men: First Class,X: First Class,2011.0,,"Action,Adventure,Sci-Fi"
tt1276104,movie,Looper,Looper,2012.0,,"Action,Drama,Sci-Fi"
tt1152836,movie,Public Enemies,Public Enemies,2009.0,,"Action,Biography,Crime"
tt1321509,movie,Death at a Funeral,Death at a Funeral,2010.0,,"Comedy,Drama"
tt1179034,movie,From Paris with Love,From Paris with Love,2010.0,,"Action,Crime,Thriller"
tt1403177,movie,Hesher,Hesher,2010.0,,Drama
tt0800369,movie,Thor,Thor,2011.0,,"Action,Adventure,Fantasy"
tt1055292,movie,Life as We Know It,Life as We Know It,2010.0,,"Comedy,Drama,Romance"
tt1800241,movie,American Hustle,American Hustle,2013.0,,"Crime,Drama"
tt0443272,movie,Lincoln,Lincoln,2012.0,,"Biography,Drama,History"
tt5052474,movie,Sicario: Day of the Soldado,Sicario: Day of the Soldado,2018.0,,"Action,Crime,Drama"
tt5463162,movie,Deadpool 2,Deadpool 2,2018.0,,"Action,Adventure,Comedy"
tt2395427,movie,Avengers: Age of Ultron,Avengers: Age of Ultron,2015.0,,"Action,Adventure,Sci-Fi"
tt0458481,movie,Sin City: A Dame to Kill For,Sin City: A Dame to Kill For,2014.0,,"Action,Crime,Thriller"
tt1409024,movie,Men in Black 3,Men in Black 3,2012.0,,"Action,Adventure,Comedy"
tt1403865,movie,True Grit,True Grit,2010.0,,"Drama,Western"
tt1596363,movie,The Big Short,The Big Short,2015.0,,"Biography,Comedy,Drama"
tt0985694,movie,Machete,Machete,2010.0,,"Action,Crime,Thriller"
tt2002718,movie,Machete Kills,Machete Kills,2013.0,,"Action,Crime,Thriller"
tt1130884,movie,Shutter Island,Shutter Island,2010.0,,"Mystery,Thriller"
tt1440292,movie,Submarine,Submarine,2010.0,,"Comedy,Drama,Romance"
tt1037705,movie,The Book of Eli,The Book of Eli,2010.0,,"Action,Adventure,Drama"
tt0964517,movie,The Fighter,The Fighter,2010.0,,"Action,Biography,Drama"
tt1637725,movie,Ted,Ted,2012.0,,Comedy
tt2637276,movie,Ted 2,Ted 2,2015.0,,Comedy
tt0918927,movie,Doubt,Doubt,2008.0,,"Drama,Mystery"
tt1458175,movie,The Next Three Days,The Next Three Days,2010.0,,"Action,Crime,Drama"
tt0458339,movie,Captain America: The First Avenger,Captain America: The First Avenger,2011.0,,"Action,Adventure,Sci-Fi"
tt1843866,movie,Captain America: The Winter Soldier,Captain America: The Winter Soldier,2014.0,,"Action,Adventure,Sci-Fi"
tt1219289,movie,Limitless,Limitless,2011.0,,"Sci-Fi,Thriller"
tt1486185,movie,Red Riding Hood,Red Riding Hood,2011.0,,"Fantasy,Horror,Mystery"
tt1318514,movie,Rise of the Planet of the Apes,Rise of the Planet of the Apes,2011.0,,"Action,Drama,Sci-Fi"
tt1212450,movie,Lawless,Lawless,2012.0,,"Biography,Crime,Drama"
tt1291584,movie,Warrior,Warrior,2011.0,,"Action,Drama,Sport"
tt0810922,movie,Take Me Home Tonight,Take Me Home Tonight,2011.0,,"Comedy,Drama,Romance"
tt1645080,movie,The Art of Getting By,The Art of Getting By,2011.0,,"Drama,Romance"
tt2179136,movie,American Sniper,American Sniper,2014.0,,"Action,Biography,Drama"
tt1045658,movie,Silver Linings Playbook,Silver Linings Playbook,2012.0,,"Comedy,Drama,Romance"
tt1951261,movie,The Hangover Part III,The Hangover Part III,2013.0,,"Comedy,Crime"
tt1790886,movie,The Campaign,The Campaign,2012.0,,Comedy
tt1605630,movie,American Reunion,American Reunion,2012.0,,Comedy
tt1645170,movie,The Dictator,The Dictator,2012.0,,Comedy
tt0903624,movie,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,2012.0,,"Adventure,Fantasy"
tt1170358,movie,The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,2013.0,,"Adventure,Fantasy"
tt2310332,movie,The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies,2014.0,,"Adventure,Fantasy"
tt1596365,movie,The Woman in Black,The Woman in Black,2012.0,,"Drama,Fantasy,Horror"
tt1840417,movie,The Words,The Words,2012.0,,"Drama,Mystery,Romance"
tt2229499,movie,Don Jon,Don Jon,2013.0,,"Comedy,Drama,Romance"
tt1321870,movie,Gangster Squad,Gangster Squad,2013.0,,"Action,Crime,Drama"
tt2975590,movie,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,2016.0,,"Action,Adventure,Sci-Fi"
tt3063516,movie,Jackass Presents: Bad Grandpa,Bad Grandpa,2013.0,,Comedy
tt1937390,movie,Nymphomaniac: Vol. I,Nymphomaniac: Vol. I,2013.0,,Drama
tt2382009,movie,Nymphomaniac: Vol. II,Nymphomaniac: Vol. II,2013.0,,Drama
tt0770828,movie,Man of Steel,Man of Steel,2013.0,,"Action,Adventure,Sci-Fi"
tt1979320,movie,Rush,Rush,2013.0,,"Action,Biography,Drama"
tt2103281,movie,Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,2014.0,,"Action,Adventure,Drama"
tt3765088,movie,Amongst Bees,Entre Abelhas,2015.0,,Drama
tt0470752,movie,Ex Machina,Ex Machina,2014.0,,"Drama,Sci-Fi,Thriller"
tt2488496,movie,Star Wars: Episode VII - The Force Awakens,Star Wars: Episode VII - The Force Awakens,2015.0,,"Action,Adventure,Sci-Fi"
tt3397884,movie,Sicario,Sicario,2015.0,,"Action,Crime,Drama"
tt4172430,movie,13 Hours,13 Hours,2016.0,,"Action,Drama,History"
tt3748440,movie,Blue Mountain State: The Rise of Thadland,Blue Mountain State: The Rise of Thadland,2016.0,,"Comedy,Sport"
tt1431045,movie,Deadpool,Deadpool,2016.0,,"Action,Adventure,Comedy"
tt3748528,movie,Rogue One: A Star Wars Story,Rogue One,2016.0,,"Action,Adventure,Sci-Fi"
tt2527336,movie,Star Wars: Episode VIII - The Last Jedi,Star Wars: Episode VIII - The Last Jedi,2017.0,,"Action,Adventure,Fantasy"
tt2763304,movie,T2 Trainspotting,T2 Trainspotting,2017.0,,Drama
tt6336270,movie,The Girl from the Song,The Girl from the Song,2017.0,,"Drama,Music,Romance"
tt2562232,movie,Birdman or (The Unexpected Virtue of Ignorance),Birdman or (The Unexpected Virtue of Ignorance),2014.0,,"Comedy,Drama"
tt1306980,movie,50/50,50/50,2011.0,,"Comedy,Drama,Romance"
tt5723272,movie,In the Fade,Aus dem Nichts,2017.0,,"Crime,Drama,Thriller"
tt4943998,tvMovie,Deadwood: The Movie,Deadwood,2019.0,,"Drama,Western"
tt0556311,tvEpisode,Tell Your God to Ready for Blood,Tell Your God to Ready for Blood,2006.0,,"Crime,Drama,History"
tt0556305,tvEpisode,I Am Not the Fine Man You Take Me For,I Am Not the Fine Man You Take Me For,2006.0,,"Crime,Drama,History"
tt0556294,tvEpisode,True Colors,True Colors,2006.0,,"Crime,Drama,History"
tt0556281,tvEpisode,Full Faith and Credit,Full Faith and Credit,2006.0,,"Crime,Drama,History"
tt0556282,tvEpisode,A Two-Headed Beast,A Two-Headed Beast,2006.0,,"Crime,Drama,History"
tt0556283,tvEpisode,A Rich Find,A Rich Find,2006.0,,"Crime,Drama,History"
tt0556284,tvEpisode,Unauthorized Cinnamon,Unauthorized Cinnamon,2006.0,,"Crime,Drama,History"
tt0556285,tvEpisode,Leviathan Smiles,Leviathan Smiles,2006.0,,"Crime,Drama,History"
tt0556290,tvEpisode,Amateur Night,Amateur Night,2006.0,,"Crime,Drama,History"
tt0828738,tvEpisode,A Constant Throb,A Constant Throb,2006.0,,"Crime,Drama,History"
tt0770857,tvEpisode,The Catbird Seat,The Catbird Seat,2006.0,,"Crime,Drama,History"
tt0828739,tvEpisode,Tell Him Something Pretty,Tell Him Something Pretty,2006.0,,"Crime,Drama,History"
tt2349740,tvEpisode,Pilot,Pilot,2013.0,,"Crime,Drama,Mystery"
tt2573020,tvEpisode,The Clock,The Clock,2013.0,,"Crime,Drama,Mystery"
tt2598996,tvEpisode,Gregory,Gregory,2013.0,,"Crime,Drama,Mystery"
tt2637674,tvEpisode,In Control,In Control,2013.0,,"Crime,Drama,Mystery"
tt2637678,tvEpisode,Comint,Comint,2013.0,,"Crime,Drama,Mystery"
tt2637676,tvEpisode,Trust Me,Trust Me,2013.0,,"Crime,Drama,Mystery"
tt2637680,tvEpisode,Duty and Honor,Duty and Honor,2013.0,,"Crime,Drama,Mystery"
tt2637682,tvEpisode,Mutually Assured Destruction,Mutually Assured Destruction,2013.0,,"Crime,Drama,Mystery"
tt2737870,tvEpisode,Safe House,Safe House,2013.0,,"Crime,Drama,Mystery"
tt2737872,tvEpisode,Only You,Only You,2013.0,,"Crime,Drama,Mystery"
tt2737876,tvEpisode,The Oath,The Oath,2013.0,,"Crime,Drama,Mystery"
tt2737880,tvEpisode,The Colonel,The Colonel,2013.0,,"Crime,Drama,Mystery"
tt2726822,tvEpisode,Comrades,Comrades,2014.0,,"Crime,Drama,Mystery"
tt3459856,tvEpisode,Cardinal,Cardinal,2014.0,,"Crime,Drama,Mystery"
tt3459862,tvEpisode,The Walk-In,The Walk-In,2014.0,,"Crime,Drama,Mystery"
tt3459860,tvEpisode,A Little Night Music,A Little Night Music,2014.0,,"Crime,Drama,Mystery"
tt3459858,tvEpisode,The Deal,The Deal,2014.0,,"Crime,Drama,Mystery"
tt3459866,tvEpisode,Behind the Red Door,Behind the Red Door,2014.0,,"Crime,Drama,Mystery"
tt3459864,tvEpisode,ARPANET,ARPANET,2014.0,,"Crime,Drama,Mystery"
tt3533366,tvEpisode,New Car,New Car,2014.0,,"Crime,Drama,Mystery"
tt3553756,tvEpisode,Martial Eagle,Martial Eagle,2014.0,,"Crime,Drama,Mystery"
tt3594864,tvEpisode,Yousaf,Yousaf,2014.0,,"Crime,Drama,Mystery"
tt3594870,tvEpisode,Stealth,Stealth,2014.0,,"Crime,Drama,Mystery"
tt3594868,tvEpisode,Operation Chronicle,Operation Chronicle,2014.0,,"Crime,Drama,Mystery"
tt3599846,tvEpisode,Echo,Echo,2014.0,,"Crime,Drama,Mystery"
tt3672866,tvEpisode,EST Men,EST Men,2015.0,,"Crime,Drama,Mystery"
tt0993846,movie,The Wolf of Wall Street,The Wolf of Wall Street,2013.0,,"Biography,Comedy,Crime"
tt0361748,movie,Inglourious Basterds,Inglourious Basterds,2009.0,,"Adventure,Drama,War"
tt0133093,movie,The Matrix,The Matrix,1999.0,,"Action,Sci-Fi"
tt1343092,movie,The Great Gatsby,The Great Gatsby,2013.0,,"Drama,Romance"
tt0840361,movie,The Town,The Town,2010.0,,"Crime,Drama,Thriller"
tt0181689,movie,Minority Report,Minority Report,2002.0,,"Action,Crime,Mystery"
tt3029774,tvEpisode,Time Zones,Time Zones,2014.0,,Drama
tt3669680,tvEpisode,A Day's Work,A Day's Work,2014.0,,Drama
tt3678086,tvEpisode,Field Trip,Field Trip,2014.0,,Drama
tt3680402,tvEpisode,The Monolith,The Monolith,2014.0,,Drama
tt3709284,tvEpisode,The Runaways,The Runaways,2014.0,,Drama
tt3709286,tvEpisode,The Strategy,The Strategy,2014.0,,Drama
tt3740788,tvEpisode,Waterloo,Waterloo,2014.0,,Drama
tt3239886,tvEpisode,Severance,Severance,2015.0,,Drama
tt3868862,tvEpisode,New Business,New Business,2015.0,,Drama
tt3908430,tvEpisode,The Forecast,The Forecast,2015.0,,Drama
tt3908436,tvEpisode,Lost Horizon,Lost Horizon,2015.0,,Drama
tt3783560,tvEpisode,The Milk and Honey Route,The Milk and Honey Route,2015.0,,Drama
tt3756834,tvEpisode,Person to Person,Person to Person,2015.0,,Drama
tt2470504,tvEpisode,"The Doorway, Part 1","The Doorway, Part 1",2013.0,,Drama
tt2649564,tvEpisode,"The Doorway, Part 2","The Doorway, Part 2",2013.0,,Drama
tt2551222,tvEpisode,Collaborators,Collaborators,2013.0,,Drama
tt2560864,tvEpisode,To Have and to Hold,To Have and to Hold,2013.0,,Drama
tt2717848,tvEpisode,The Flood,The Flood,2013.0,,Drama
tt2717850,tvEpisode,For Immediate Release,For Immediate Release,2013.0,,Drama
tt2663614,tvEpisode,Man with a Plan,Man with a Plan,2013.0,,Drama
tt2882250,tvEpisode,The Crash,The Crash,2013.0,,Drama
tt2882248,tvEpisode,The Better Half,The Better Half,2013.0,,Drama
tt2939966,tvEpisode,A Tale of Two Cities,A Tale of Two Cities,2013.0,,Drama
tt2939964,tvEpisode,Favors,Favors,2013.0,,Drama
tt2939970,tvEpisode,The Quality of Mercy,The Quality of Mercy,2013.0,,Drama
tt2939968,tvEpisode,In Care Of,In Care Of,2013.0,,Drama
tt2049166,tvEpisode,Commissions and Fees,Commissions and Fees,2012.0,,Drama
tt2048448,tvEpisode,"A Little Kiss, Part 1","A Little Kiss, Part 1",2012.0,,Drama
tt2049168,tvEpisode,"A Little Kiss, Part 2","A Little Kiss, Part 2",2012.0,,Drama
tt2049169,tvEpisode,Tea Leaves,Tea Leaves,2012.0,,Drama
tt2049170,tvEpisode,Mystery Date,Mystery Date,2012.0,,Drama
tt2049171,tvEpisode,Signal 30,Signal 30,2012.0,,Drama
tt2049172,tvEpisode,Far Away Places,Far Away Places,2012.0,,Drama
tt2049174,tvEpisode,Lady Lazarus,Lady Lazarus,2012.0,,Drama
tt2049164,tvEpisode,Christmas Waltz,Christmas Waltz,2012.0,,Drama
tt2049165,tvEpisode,The Other Woman,The Other Woman,2012.0,,Drama
tt2049167,tvEpisode,The Phantom,The Phantom,2012.0,,Drama
tt1615656,tvEpisode,Public Relations,Public Relations,2010.0,,Drama
tt1615661,tvEpisode,Christmas Comes But Once a Year,Christmas Comes But Once a Year,2010.0,,Drama
tt1615662,tvEpisode,The Good News,The Good News,2010.0,,Drama
tt1615663,tvEpisode,The Rejected,The Rejected,2010.0,,Drama
tt1615664,tvEpisode,The Chrysanthemum and the Sword,The Chrysanthemum and the Sword,2010.0,,Drama
tt1615665,tvEpisode,Waldorf Stories,Waldorf Stories,2010.0,,Drama
tt1615666,tvEpisode,The Suitcase,The Suitcase,2010.0,,Drama
tt1615667,tvEpisode,The Summer Man,The Summer Man,2010.0,,Drama
tt1615668,tvEpisode,The Beautiful Girls,The Beautiful Girls,2010.0,,Drama
tt1615657,tvEpisode,Hands and Knees,Hands and Knees,2010.0,,Drama
tt1615658,tvEpisode,Chinese Wall,Chinese Wall,2010.0,,Drama
tt1615659,tvEpisode,Blowing Smoke,Blowing Smoke,2010.0,,Drama
tt1615660,tvEpisode,Tomorrowland,Tomorrowland,2010.0,,Drama
tt1439792,tvEpisode,Out of Town,Out of Town,2009.0,,Drama
tt1449612,tvEpisode,Love Among the Ruins,Love Among the Ruins,2009.0,,Drama
tt1484415,tvEpisode,My Old Kentucky Home,My Old Kentucky Home,2009.0,,Drama
tt1484416,tvEpisode,The Arrangements,The Arrangements,2009.0,,Drama
tt1484417,tvEpisode,The Fog,The Fog,2009.0,,Drama
tt1484435,tvEpisode,Guy Walks Into an Advertising Agency,Guy Walks Into an Advertising Agency,2009.0,,Drama
tt1472778,tvEpisode,Seven Twenty Three,Seven Twenty Three,2009.0,,Drama
tt1484662,tvEpisode,Souvenir,Souvenir,2009.0,,Drama
tt1484663,tvEpisode,Wee Small Hours,Wee Small Hours,2009.0,,Drama
tt1484249,tvEpisode,The Color Blue,The Color Blue,2009.0,,Drama
tt1484250,tvEpisode,The Gypsy and the Hobo,The Gypsy and the Hobo,2009.0,,Drama
tt1484251,tvEpisode,The Grown-Ups,The Grown-Ups,2009.0,,Drama
tt1484414,tvEpisode,Shut the Door. Have a Seat,Shut the Door. Have a Seat,2009.0,,Drama
tt1118051,tvEpisode,For Those Who Think Young,For Those Who Think Young,2008.0,,Drama
tt1118056,tvEpisode,Flight 1,Flight 1,2008.0,,Drama
tt1118057,tvEpisode,The Benefactor,The Benefactor,2008.0,,Drama
tt1118058,tvEpisode,Three Sundays,Three Sundays,2008.0,,Drama
tt1118059,tvEpisode,The New Girl,The New Girl,2008.0,,Drama
tt1118060,tvEpisode,Maidenform,Maidenform,2008.0,,Drama
tt1118061,tvEpisode,The Gold Violin,The Gold Violin,2008.0,,Drama
tt1118062,tvEpisode,A Night to Remember,A Night to Remember,2008.0,,Drama
tt1118063,tvEpisode,Six Month Leave,Six Month Leave,2008.0,,Drama
tt1118052,tvEpisode,The Inheritance,The Inheritance,2008.0,,Drama
tt1118053,tvEpisode,The Jet Set,The Jet Set,2008.0,,Drama
tt1118054,tvEpisode,The Mountain King,The Mountain King,2008.0,,Drama
tt1118055,tvEpisode,Meditations in an Emergency,Meditations in an Emergency,2008.0,,Drama
tt1059578,tvEpisode,Smoke Gets in Your Eyes,Smoke Gets in Your Eyes,2007.0,,Drama
tt1049715,tvEpisode,Ladies Room,Ladies Room,2007.0,,Drama
tt1049716,tvEpisode,Marriage of Figaro,Marriage of Figaro,2007.0,,Drama
tt1040713,tvEpisode,New Amsterdam,New Amsterdam,2007.0,,Drama
tt1097127,tvEpisode,5G,5G,2007.0,,Drama
tt1042049,tvEpisode,Babylon,Babylon,2007.0,,Drama
tt1050979,tvEpisode,Red in the Face,Red in the Face,2007.0,,Drama
tt1097128,tvEpisode,The Hobo Code,The Hobo Code,2007.0,,Drama
tt1097298,tvEpisode,Shoot,Shoot,2007.0,,Drama
tt1094472,tvEpisode,Long Weekend,Long Weekend,2007.0,,Drama
tt1108366,tvEpisode,Indian Summer,Indian Summer,2007.0,,Drama
tt1102103,tvEpisode,Nixon vs. Kennedy,Nixon vs. Kennedy,2007.0,,Drama
tt1105057,tvEpisode,The Wheel,The Wheel,2007.0,,Drama
