tconst,episodetconst,seasonNumber,episodeNumber
tt1219289,,,
tt1486185,,,
tt1318514,,,
tt1212450,,,
tt1291584,,,
tt0810922,,,
tt1645080,,,
tt2179136,,,
tt1045658,,,
tt1951261,,,
tt1790886,,,
tt1605630,,,
tt1645170,,,
tt0903624,,,
tt1170358,,,
tt2310332,,,
tt1596365,,,
tt1840417,,,
tt2229499,,,
tt1321870,,,
tt2975590,,,
tt3063516,,,
tt1937390,,,
tt2382009,,,
tt0770828,,,
tt1979320,,,
tt2103281,,,
tt3765088,,,
tt0470752,,,
tt2488496,,,
tt3397884,,,
tt4172430,,,
tt3748440,,,
tt1431045,,,
tt3748528,,,
tt2527336,,,
tt2763304,,,
tt6336270,,,
tt2562232,,,
tt1306980,,,
tt5723272,,,
tt4943998,,,
tt0993846,,,
tt0361748,,,
tt0133093,,,
tt1343092,,,
tt0840361,,,
tt0181689,,,
tt0790636,,,
tt5516154,,,
tt0118715,,,
tt2699128,,,
tt7984766,,,
tt1670345,,,
tt0265208,,,
tt0480249,,,
tt1119646,,,
tt0469494,,,
tt6412452,,,
tt0453451,,,
tt0330373,,,
tt1201607,,,
tt0295297,,,
tt0926084,,,
tt0417741,,,
tt0373889,,,
tt0090859,,,
tt0241527,,,
tt0800320,,,
tt0104431,,,
tt0074285,,,
tt0120812,,,
tt0187078,,,
tt0330793,,,
tt0317919,,,
tt0257106,,,
tt0172495,,,
tt1268799,,,
tt0283111,,,
tt0366551,,,
tt0481536,,,
tt0356150,,,
tt0421715,,,
tt0232500,,,
tt0110475,,,
tt0365830,,,
tt0083944,,,
tt0245844,,,
tt0250223,,,
tt0316654,,,
tt0121955,,,
tt1833285,,,
tt2243973,,,
tt4061080,,,
tt0080453,,,
tt0252866,,,
tt0163651,,,
tt0120484,,,
tt0328828,,,
tt1636826,,,
tt0343660,,,
tt0109686,,,
tt1488555,,,
tt0175142,,,
tt0486551,,,
tt0381707,,,
tt0120746,,,
tt0362120,,,
tt0396269,,,
tt4925292,,,
tt0829482,,,
tt1245492,,,
tt0405159,,,
tt0066765,,,
tt1160419,,,
tt1068680,,,
tt0162661,,,
tt0099487,,,
tt0118789,,,
tt1333125,,,
tt0377818,,,
tt0111257,,,
tt1134629,,,
tt2720680,,,
tt1073498,,,
tt0332452,,,
tt0071853,,,
tt0087843,,,
tt0145487,,,
tt0118971,,,
tt0120338,,,
tt0110148,,,
tt0367594,,,
tt0398808,,,
tt0362165,,,
tt0290334,,,
tt0110366,,,
tt0382625,,,
tt10370710,,,
tt7961060,,,
tt11138512,,,
tt1877830,,,
tt0242423,,,
tt0075314,,,
tt2283336,,,
tt1981115,,,
tt3501632,,,
tt9419884,,,
tt1131729,,,
tt0120903,,,
tt0473075,,,
tt0120616,,,
tt0086250,,,
tt0167404,,,
tt0120382,,,
tt0110413,,,
tt1253863,,,
tt8267604,,,
tt10648342,,,
tt0363163,,,
tt0861739,,,
tt1555149,,,
tt0197139,,,
tt1610527,,,
tt9606374,,,
tt0335266,,,
tt1832382,,,
tt5516154,tt5761072,1.0,1.0
tt5516154,tt5807790,1.0,6.0
tt5516154,tt5822200,1.0,2.0
tt5516154,tt5822202,1.0,3.0
tt5516154,tt5822478,1.0,4.0
tt5516154,tt5822482,1.0,5.0
tt5516154,tt7664718,1.0,7.0
tt2699128,tt3203968,1.0,1.0
tt2699128,tt3594942,1.0,4.0
tt2699128,tt3603056,1.0,2.0
tt2699128,tt3630790,1.0,5.0
tt2699128,tt3631218,1.0,3.0
tt2699128,tt3666322,1.0,6.0
tt2699128,tt3721722,1.0,9.0
tt2699128,tt3721724,1.0,10.0
tt2699128,tt3725022,1.0,7.0
tt2699128,tt3725024,1.0,8.0
tt2699128,tt3955000,2.0,1.0
tt2699128,tt4510954,2.0,10.0
tt2699128,tt4547200,2.0,2.0
tt2699128,tt4550136,2.0,3.0
tt2699128,tt4550146,2.0,4.0
tt2699128,tt4550148,2.0,5.0
tt2699128,tt4550864,2.0,6.0
tt2699128,tt4550866,2.0,7.0
tt2699128,tt4550868,2.0,8.0
tt2699128,tt4550870,2.0,9.0
tt2699128,tt5262534,3.0,1.0
tt2699128,tt5337978,3.0,2.0
tt2699128,tt5337984,3.0,3.0
tt2699128,tt5338010,3.0,4.0
tt2699128,tt5338022,3.0,5.0
tt2699128,tt5338034,3.0,6.0
tt2699128,tt5338040,3.0,7.0
tt2699128,tt5338044,3.0,8.0
tt1833285,tt1869908,1.0,1.0
tt1833285,tt1932848,1.0,4.0
tt1833285,tt1942198,1.0,2.0
tt1833285,tt1949652,1.0,3.0
tt1833285,tt1990487,1.0,8.0
tt1833285,tt2000696,1.0,6.0
tt1833285,tt2003074,1.0,5.0
tt1833285,tt2003075,1.0,7.0
tt1833285,tt2189936,2.0,10.0
tt1833285,tt2205536,2.0,5.0
tt1833285,tt2231476,2.0,7.0
tt1833285,tt2235138,2.0,9.0
tt1833285,tt2235140,2.0,8.0
tt1833285,tt2324143,2.0,2.0
tt1833285,tt2329081,2.0,1.0
tt1833285,tt2385363,2.0,3.0
tt1833285,tt2385365,2.0,4.0
tt1833285,tt2401265,2.0,6.0
tt2243973,tt2370419,1.0,1.0
tt2243973,tt2373019,1.0,10.0
tt2243973,tt2373021,1.0,11.0
tt2243973,tt2373023,1.0,12.0
tt2243973,tt2373025,1.0,13.0
tt2243973,tt2373027,1.0,2.0
tt2243973,tt2373029,1.0,3.0
tt2243973,tt2373031,1.0,4.0
tt2243973,tt2373033,1.0,5.0
tt2243973,tt2373035,1.0,6.0
tt2243973,tt2373037,1.0,7.0
tt2243973,tt2373039,1.0,8.0
tt2243973,tt2373041,1.0,9.0
tt2243973,tt3000124,2.0,1.0
tt2243973,tt3230882,2.0,2.0
tt2243973,tt3230884,2.0,3.0
tt2243973,tt3230886,2.0,4.0
tt2243973,tt3230890,2.0,5.0
tt2243973,tt3230894,2.0,8.0
tt2243973,tt3230896,2.0,6.0
tt2243973,tt3230898,2.0,7.0
tt2243973,tt3230900,2.0,9.0
tt2243973,tt3230904,2.0,10.0
tt2243973,tt3230906,2.0,11.0
tt2243973,tt3230908,2.0,13.0
tt2243973,tt3230910,2.0,12.0
tt2243973,tt3724578,3.0,1.0
tt2243973,tt3984450,3.0,2.0
tt2243973,tt3984452,3.0,3.0
tt2243973,tt3984456,3.0,4.0
tt2243973,tt4035340,3.0,5.0
tt2243973,tt4057954,3.0,6.0
tt2243973,tt4057962,3.0,7.0
tt2243973,tt4057974,3.0,8.0
tt2243973,tt4089740,3.0,9.0
tt2243973,tt4089746,3.0,10.0
tt2243973,tt4089748,3.0,11.0
tt2243973,tt4089752,3.0,12.0
tt2243973,tt4089754,3.0,13.0
tt4061080,tt4288962,1.0,1.0
tt4061080,tt4425192,1.0,10.0
tt4061080,tt4425194,2.0,1.0
tt4061080,tt4425196,2.0,12.0
tt4061080,tt4642824,1.0,2.0
tt4061080,tt4716766,1.0,3.0
tt4061080,tt4716772,1.0,4.0
tt4061080,tt4716776,1.0,5.0
tt4061080,tt4742280,1.0,6.0
tt4061080,tt4742284,1.0,7.0
tt4061080,tt4742294,1.0,8.0
tt4061080,tt4742296,1.0,9.0
tt4061080,tt5493206,2.0,2.0
tt4061080,tt5506790,2.0,3.0
tt4061080,tt5513490,2.0,4.0
tt4061080,tt5583058,2.0,5.0
tt4061080,tt5600456,2.0,6.0
tt4061080,tt5600458,2.0,7.0
tt4061080,tt5600460,2.0,8.0
tt4061080,tt5600464,2.0,9.0
tt4061080,tt5600466,2.0,10.0
tt4061080,tt5600468,2.0,11.0
tt4061080,tt6551386,3.0,1.0
tt4061080,tt6648654,3.0,2.0
tt4061080,tt6874532,3.0,3.0
tt4061080,tt6928658,3.0,4.0
tt4061080,tt6928662,3.0,5.0
tt4061080,tt6928664,3.0,6.0
tt4061080,tt6928670,3.0,7.0
tt4061080,tt6957454,3.0,8.0
tt4061080,tt6957468,3.0,9.0
tt4061080,tt6957474,3.0,10.0
tt4061080,tt6957476,3.0,11.0
tt4061080,tt6957478,3.0,12.0
